iter	RMSE
0	0.8322695577
1	0.7722997949
2	0.7377244772
3	0.7157913675
4	0.7014223897
5	0.6925894079
6	0.6867907829
7	0.6828818295
8	0.6796861453
9	0.6777493516
10	0.6760277442
11	0.6748588622
12	0.6733693685
13	0.6589558335
14	0.6579020238
15	0.6569395651
16	0.6559674908
17	0.6553670007
18	0.6478112168
19	0.6385585511
20	0.6379297153
21	0.6320053026
22	0.6312517954
23	0.6304193026
24	0.6297405262
25	0.6292885696
26	0.6258206815
27	0.6253510559
28	0.6248533613
29	0.6219715674
30	0.620942706
31	0.6152956376
32	0.6105468318
33	0.6095302729
34	0.6088650687
35	0.6083726145
36	0.6076794233
