iter	Passed	Remaining
0	1062	530412
1	1892	471311
2	2688	445411
3	3465	429747
4	4167	412576
5	4907	404014
6	5634	396845
7	6308	387947
8	7138	389428
9	7816	383018
10	8602	382441
11	9286	377665
12	10073	377363
13	12992	451009
14	13687	442548
15	14354	434218
16	15055	427746
17	15693	420247
18	17274	437313
19	19853	476479
20	20540	468519
21	21939	476696
22	22635	469440
23	23779	471631
24	24444	464443
25	25083	457286
26	26366	461897
27	27008	455293
28	27684	449631
29	28782	450921
30	29319	443580
31	34333	502132
32	38683	547432
33	39388	539859
34	40464	537594
35	42061	542120
36	42593	532988
