iter	RMSE
0	2.626543737
1	2.580122361
2	2.534693998
3	2.490204614
4	2.446651321
5	2.404050377
6	2.362435973
7	2.321578287
8	2.281874591
9	2.243011624
10	2.204897554
11	2.167591202
12	2.131138991
13	2.095458179
14	2.060404756
15	2.026065387
16	1.992713423
17	1.960204701
18	1.928435472
19	1.89720436
20	1.866618242
21	1.836901708
22	1.807713935
23	1.77927524
24	1.751434653
25	1.724101319
26	1.69755731
27	1.671656352
28	1.646330313
29	1.621429059
30	1.597073876
31	1.573399191
32	1.550366092
33	1.527686856
34	1.505663442
35	1.484033518
36	1.462862716
37	1.442570763
38	1.422546431
39	1.403190088
40	1.384311513
41	1.365939096
42	1.347945182
43	1.330453309
44	1.313360592
45	1.296679718
46	1.280271436
47	1.26442181
48	1.248586645
49	1.233501644
50	1.218880705
51	1.204581169
52	1.190718004
53	1.176975577
54	1.163546265
55	1.150462254
56	1.138086412
57	1.125732506
58	1.113885242
59	1.102408815
60	1.091241752
61	1.079912776
62	1.068896347
63	1.058759401
64	1.04839655
65	1.038723703
66	1.029258976
67	1.019614265
68	1.010300421
69	1.001208288
70	0.9928437135
71	0.9847328685
72	0.9767205191
73	0.9683383417
74	0.9604260065
75	0.9529851329
76	0.9459392513
77	0.938370677
78	0.9314494197
79	0.9249547716
80	0.918130685
81	0.9118893092
82	0.9059404968
83	0.9002563324
84	0.8941528128
85	0.8888018997
86	0.8830723861
87	0.8774320901
88	0.8725231682
89	0.867707495
90	0.8629314139
91	0.857861129
92	0.8528162903
93	0.8483083265
94	0.8436981669
95	0.8397093124
96	0.8351894615
97	0.8311958778
98	0.8272038281
99	0.8232206578
100	0.8197121053
101	0.8158166832
102	0.812078522
103	0.808785098
104	0.8050962022
105	0.8013788558
106	0.7980611147
107	0.795244009
108	0.7923313688
109	0.7896360562
110	0.7865850547
111	0.7836417495
112	0.781209542
113	0.7787478355
114	0.7758814003
115	0.7737242073
116	0.7710101619
117	0.7678561792
118	0.7649587371
119	0.7625073587
120	0.7597629108
121	0.7575287534
122	0.7557486645
123	0.7537626281
124	0.7516554355
125	0.7493104754
126	0.7477006331
127	0.7461638427
128	0.7444681692
129	0.7426225209
130	0.740824136
131	0.7387379936
132	0.737154781
133	0.7351392673
134	0.7335692861
135	0.732278099
136	0.7304028192
137	0.728513243
138	0.7272315545
139	0.7259232725
140	0.7242770498
141	0.7231791162
142	0.7220996201
143	0.7211194935
144	0.7200545377
145	0.719106686
146	0.7180117065
147	0.7167355512
148	0.7152144236
149	0.7138356648
150	0.7126371693
151	0.711536503
152	0.7103840323
153	0.7087499742
154	0.7077719153
155	0.7068873058
156	0.7052714362
157	0.7044905324
158	0.702943439
159	0.7018846848
160	0.7008640822
161	0.7001543775
162	0.6992718972
163	0.6983342463
164	0.6974350361
165	0.6961069086
166	0.6952799443
167	0.6947439481
168	0.6940349967
169	0.6933370906
170	0.6924442585
171	0.691199151
172	0.6904604986
173	0.6898858417
174	0.6886107132
175	0.6873597621
176	0.6869012026
177	0.686142132
178	0.6855898502
179	0.685073709
180	0.6843934779
181	0.6836713534
182	0.6826369636
183	0.6817261066
184	0.6805927788
185	0.6794111269
186	0.6788080352
187	0.6783953415
188	0.6779774744
189	0.6776134679
190	0.677175392
191	0.6763949403
192	0.6751090028
193	0.6742941519
194	0.6733949162
195	0.6727174116
196	0.6721998306
197	0.6719084097
198	0.6715053535
199	0.6708471808
