iter	Passed	Remaining
0	180	36017
1	341	33768
2	524	34413
3	665	32625
4	814	31779
5	946	30601
6	1094	30164
7	1266	30390
8	1419	30134
9	1567	29790
10	1721	29578
11	1864	29215
12	2027	29158
13	2163	28740
14	2346	28945
15	2485	28578
16	2646	28489
17	2824	28563
18	2983	28421
19	3127	28148
20	3289	28041
21	3461	28004
22	3644	28050
23	3794	27824
24	3948	27642
25	4115	27539
26	4274	27389
27	4436	27251
28	4594	27091
29	4774	27055
30	4926	26854
31	5093	26738
32	5257	26603
33	5402	26375
34	5549	26160
35	5705	25992
36	5854	25791
37	6000	25579
38	6164	25450
39	6349	25398
40	6520	25285
41	6659	25051
42	6811	24870
43	7015	24874
44	7196	24786
45	7356	24627
46	7488	24375
47	7636	24181
48	7757	23905
49	7895	23686
50	8080	23607
51	8224	23407
52	8391	23274
53	8550	23117
54	8711	22967
55	8854	22768
56	8982	22536
57	9109	22302
58	9265	22143
59	9418	21976
60	9553	21768
61	9701	21592
62	9829	21374
63	9962	21170
64	10129	21038
65	10275	20862
66	10405	20654
67	10532	20446
68	10660	20239
69	10783	20026
70	10943	19884
71	11121	19771
72	11277	19620
73	11411	19430
74	11559	19265
75	11685	19066
76	11836	18907
77	11985	18746
78	12116	18558
79	12259	18389
80	12395	18210
81	12542	18049
82	12717	17927
83	12883	17791
84	13033	17633
85	13190	17484
86	13319	17300
87	13458	17129
88	13614	16979
89	13782	16845
90	13945	16703
91	14088	16538
92	14198	16336
93	14368	16202
94	14537	16068
95	14704	15930
96	14842	15761
97	14993	15604
98	15122	15428
99	15266	15266
100	15405	15100
101	15528	14919
102	15647	14736
103	15811	14595
104	15924	14408
105	16043	14227
106	16195	14076
107	16373	13947
108	16497	13772
109	16652	13625
110	16761	13439
111	16865	13251
112	17007	13094
113	17160	12945
114	17286	12776
115	17432	12623
116	17602	12487
117	17740	12328
118	17893	12179
119	18001	12001
120	18141	11844
121	18269	11680
122	18473	11564
123	18605	11403
124	18733	11239
125	18879	11087
126	19029	10938
127	19184	10791
128	19331	10639
129	19473	10485
130	19601	10324
131	19715	10156
132	19851	10000
133	19968	9835
134	20100	9677
135	20259	9533
136	20395	9378
137	20528	9223
138	20701	9084
139	20847	8934
140	20977	8777
141	21109	8622
142	21237	8465
143	21384	8316
144	21520	8162
145	21664	8012
146	21794	7857
147	21904	7696
148	22049	7547
149	22171	7390
150	22308	7239
151	22427	7082
152	22568	6932
153	22699	6780
154	22848	6633
155	22954	6474
156	23071	6319
157	23202	6167
158	23333	6016
159	23446	5861
160	23555	5705
161	23681	5554
162	23824	5408
163	23971	5262
164	24095	5111
165	24199	4956
166	24302	4802
167	24444	4656
168	24578	4508
169	24680	4355
170	24786	4203
171	24920	4056
172	25060	3911
173	25220	3768
174	25344	3620
175	25473	3473
176	25589	3325
177	25695	3175
178	25803	3027
179	25949	2883
180	26059	2735
181	26206	2591
182	26330	2446
183	26478	2302
184	26593	2156
185	26699	2009
186	26843	1866
187	27040	1726
188	27201	1583
189	27314	1437
190	27457	1293
191	27604	1150
192	27730	1005
193	27838	860
194	27962	716
195	28071	572
196	28167	428
197	28321	286
198	28429	142
199	28570	0
