iter	Passed	Remaining
0	180	180435
1	339	169651
2	502	166947
3	652	162383
4	878	174772
5	1026	169995
6	1175	166780
7	1325	164309
8	1473	162226
9	1641	162549
10	1805	162370
11	1955	160995
12	2129	161644
13	2302	162180
14	2472	162373
15	2634	162006
16	2789	161324
17	2956	161282
18	3087	159393
19	3262	159843
20	3372	157210
21	3522	156601
22	3656	155333
23	3822	155430
24	3942	153748
25	4079	152818
26	4218	152029
27	4359	151335
28	4508	150956
29	4636	149903
30	4780	149442
31	4935	149289
32	5061	148308
33	5189	147445
34	5373	148150
35	5464	146338
36	5572	145043
37	5735	145210
38	5819	143408
39	5929	142316
40	6074	142095
41	6237	142274
42	6376	141914
43	6542	142145
44	6657	141278
45	6775	140519
46	6878	139470
47	6960	138053
48	7041	136660
49	7164	136129
50	7304	135918
51	7431	135483
52	7575	135353
53	7705	134986
54	7821	134384
55	7935	133778
56	8089	133831
57	8189	133015
58	8283	132122
59	8409	131754
60	8555	131703
61	8664	131084
62	8801	130905
63	8942	130777
64	9092	130790
65	9190	130052
66	9302	129541
67	9419	129104
68	9506	128264
69	9624	127865
70	9745	127518
71	9856	127037
72	9971	126629
73	10076	126097
74	10200	125809
75	10352	125866
76	10490	125748
77	10598	125282
78	10676	124464
79	10780	123973
80	10896	123627
81	11015	123322
82	11164	123342
83	11310	123343
84	11418	122912
85	11531	122559
86	11677	122549
87	11788	122168
88	11889	121701
89	12032	121656
90	12164	121510
91	12250	120909
92	12393	120869
93	12524	120714
94	12660	120607
95	12843	120939
96	12938	120451
97	13077	120367
98	13177	119931
99	13272	119452
100	13435	119589
101	13575	119513
102	13697	119286
103	13819	119058
104	13934	118773
105	14063	118610
106	14184	118382
107	14309	118185
108	14417	117853
109	14504	117358
110	14572	116712
111	14667	116294
112	14785	116057
113	14934	116068
114	15045	115781
115	15158	115518
116	15257	115150
117	15390	115036
118	15515	114863
119	15636	114668
120	15755	114453
121	15863	114162
122	16019	114223
123	16136	113998
124	16221	113551
125	16338	113330
126	16488	113343
127	16635	113326
128	16740	113031
129	16809	112496
130	16902	112125
131	17007	111835
132	17144	111763
133	17250	111487
134	17373	111319
135	17482	111064
136	17555	110584
137	17699	110557
138	17829	110442
139	17969	110384
140	18098	110260
141	18262	110345
142	18409	110329
143	18552	110286
144	18624	109821
145	18757	109720
146	18881	109564
147	19026	109532
148	19154	109396
149	19270	109197
150	19409	109130
151	19504	108813
152	19643	108744
153	19769	108605
154	19880	108380
155	19996	108187
156	20114	108001
157	20265	107994
158	20389	107844
159	20552	107899
160	20677	107751
161	20757	107375
162	20888	107261
163	21010	107103
