ID,착과량(int),수고(m),수관폭1(min),수관폭2(max),수관폭평균,2022-09-01 새순,2022-09-02 새순,2022-09-03 새순,2022-09-04 새순,2022-09-05 새순,2022-09-06 새순,2022-09-07 새순,2022-09-08 새순,2022-09-09 새순,2022-09-10 새순,2022-09-11 새순,2022-09-12 새순,2022-09-13 새순,2022-09-14 새순,2022-09-15 새순,2022-09-16 새순,2022-09-17 새순,2022-09-18 새순,2022-09-19 새순,2022-09-20 새순,2022-09-21 새순,2022-09-22 새순,2022-09-23 새순,2022-09-24 새순,2022-09-25 새순,2022-09-26 새순,2022-09-27 새순,2022-09-28 새순,2022-09-29 새순,2022-09-30 새순,2022-10-01 새순,2022-10-02 새순,2022-10-03 새순,2022-10-04 새순,2022-10-05 새순,2022-10-06 새순,2022-10-07 새순,2022-10-08 새순,2022-10-09 새순,2022-10-10 새순,2022-10-11 새순,2022-10-12 새순,2022-10-13 새순,2022-10-14 새순,2022-10-15 새순,2022-10-16 새순,2022-10-17 새순,2022-10-18 새순,2022-10-19 새순,2022-10-20 새순,2022-10-21 새순,2022-10-22 새순,2022-10-23 새순,2022-10-24 새순,2022-10-25 새순,2022-10-26 새순,2022-10-27 새순,2022-10-28 새순,2022-10-29 새순,2022-10-30 새순,2022-10-31 새순,2022-11-01 새순,2022-11-02 새순,2022-11-03 새순,2022-11-04 새순,2022-11-05 새순,2022-11-06 새순,2022-11-07 새순,2022-11-08 새순,2022-11-09 새순,2022-11-10 새순,2022-11-11 새순,2022-11-12 새순,2022-11-13 새순,2022-11-14 새순,2022-11-15 새순,2022-11-16 새순,2022-11-17 새순,2022-11-18 새순,2022-11-19 새순,2022-11-20 새순,2022-11-21 새순,2022-11-22 새순,2022-11-23 새순,2022-11-24 새순,2022-11-25 새순,2022-11-26 새순,2022-11-27 새순,2022-11-28 새순,2022-09-01 엽록소,2022-09-02 엽록소,2022-09-03 엽록소,2022-09-04 엽록소,2022-09-05 엽록소,2022-09-06 엽록소,2022-09-07 엽록소,2022-09-08 엽록소,2022-09-09 엽록소,2022-09-10 엽록소,2022-09-11 엽록소,2022-09-12 엽록소,2022-09-13 엽록소,2022-09-14 엽록소,2022-09-15 엽록소,2022-09-16 엽록소,2022-09-17 엽록소,2022-09-18 엽록소,2022-09-19 엽록소,2022-09-20 엽록소,2022-09-21 엽록소,2022-09-22 엽록소,2022-09-23 엽록소,2022-09-24 엽록소,2022-09-25 엽록소,2022-09-26 엽록소,2022-09-27 엽록소,2022-09-28 엽록소,2022-09-29 엽록소,2022-09-30 엽록소,2022-10-01 엽록소,2022-10-02 엽록소,2022-10-03 엽록소,2022-10-04 엽록소,2022-10-05 엽록소,2022-10-06 엽록소,2022-10-07 엽록소,2022-10-08 엽록소,2022-10-09 엽록소,2022-10-10 엽록소,2022-10-11 엽록소,2022-10-12 엽록소,2022-10-13 엽록소,2022-10-14 엽록소,2022-10-15 엽록소,2022-10-16 엽록소,2022-10-17 엽록소,2022-10-18 엽록소,2022-10-19 엽록소,2022-10-20 엽록소,2022-10-21 엽록소,2022-10-22 엽록소,2022-10-23 엽록소,2022-10-24 엽록소,2022-10-25 엽록소,2022-10-26 엽록소,2022-10-27 엽록소,2022-10-28 엽록소,2022-10-29 엽록소,2022-10-30 엽록소,2022-10-31 엽록소,2022-11-01 엽록소,2022-11-02 엽록소,2022-11-03 엽록소,2022-11-04 엽록소,2022-11-05 엽록소,2022-11-06 엽록소,2022-11-07 엽록소,2022-11-08 엽록소,2022-11-09 엽록소,2022-11-10 엽록소,2022-11-11 엽록소,2022-11-12 엽록소,2022-11-13 엽록소,2022-11-14 엽록소,2022-11-15 엽록소,2022-11-16 엽록소,2022-11-17 엽록소,2022-11-18 엽록소,2022-11-19 엽록소,2022-11-20 엽록소,2022-11-21 엽록소,2022-11-22 엽록소,2022-11-23 엽록소,2022-11-24 엽록소,2022-11-25 엽록소,2022-11-26 엽록소,2022-11-27 엽록소,2022-11-28 엽록소
TRAIN_0000,692,275.0,287.0,292.0,289.5,2.8,2.8,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.6,78.33650359622072,78.24346165063889,78.16650127214123,78.12752579984374,78.05802097771047,77.91568926963562,77.86165984689833,77.74664498934472,77.59213772429075,77.57247726046594,77.38204531691191,77.21178911443792,77.151051137363,77.06306858128076,76.90598079169374,76.86847490874796,76.7328971593871,76.66927957589702,76.66258540677036,76.51940880035318,76.34966057133921,76.18609130345425,76.04020670422767,75.99941468543106,75.99059174278105,75.9537314339663,75.82956356105846,75.79867303040447,75.62124262611323,75.42700524274268,75.26618729261614,75.22609385675608,75.16231887629765,75.07944379173553,75.01385523805136,74.93569695757105,74.8427487967867,74.83665694602641,74.816928284831,74.78857410285768,74.69035809285182,74.50494177325305,74.39490844048267,74.35170366348436,74.1663463042952,74.0202535707781,73.83514206863225,73.76616392348458,73.75526935290921,73.62739460097048,73.46545687887831,73.39507577496688,73.31140478674308,73.24302843012498,73.0874085514925,73.08165116713317,73.02375518892748,72.98726278694191,72.97760635864091,72.83846181887112,72.64538567566767,72.51286865612917,72.44590771711384,72.37009705987414,72.30117988138223,72.22837355326827,72.20774578857161,72.06835356970815,71.98766275420917,71.8694660431277,71.85292287288894,71.69085445276272,71.57640227249897,71.3840182573008,71.30189308423554,71.23481705502098,71.07690251157027,70.99611346339422,70.98584347959259,70.97824948707064,70.87679386241459,70.70525305751912,70.55960277624256,70.42735594823199,70.34049086839599,70.29382959888797,70.26242184772855,70.16984080704441,70.04325130162226
TRAIN_0001,534,293.0,284.0,336.0,310.0,3.3,3.3,3.3,3.2,3.2,3.1,3.1,3.1,3.0,3.0,3.0,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.5,2.5,2.5,2.4,2.4,2.4,2.3,2.3,2.3,2.2,2.2,2.2,2.1,2.1,2.1,2.0,2.0,2.0,1.9,1.9,1.9,1.8,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.6,1.5,1.5,1.5,1.4,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.1,1.1,1.0,1.0,1.0,1.0,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.0,0.0,0.0,0.0,80.11669058991103,79.9743966980705,79.89039874768015,79.70927759685556,79.53106127447644,79.34813895474025,79.1510234645396,79.12873918694645,79.08419651478664,78.92447581625142,78.89324845821623,78.83094184769163,78.65477454180976,78.60941495252584,78.51224204672657,78.38291388429151,78.18871425312655,77.9994072022069,77.80425627592209,77.64074293098231,77.55924449895248,77.40301614232726,77.30745943826477,77.10787661779426,77.10622778634108,77.00585108506087,76.83004937322062,76.81026358628732,76.66941783453288,76.57252811095873,76.47826887098827,76.32815265605517,76.27687936235657,76.09234854636757,75.915247265182,75.76083011262509,75.59194294074071,75.4312254786015,75.2447954374959,75.11925044143685,74.99729622095607,74.88019611747245,74.75013764668128,74.60376062341311,74.5248084116853,74.35138261285645,74.27274861503014,74.13800978108569,74.05278978032722,74.00845174746853,73.82666819566829,73.68557645067678,73.66876523962044,73.54230821625092,73.53072326726463,73.52356982713162,73.5078136832402,73.47040143404438,73.37345734018169,73.24874315638974,73.22688452389497,73.18366598141323,73.15648369638123,73.07250445550494,72.909825831218,72.88042948938525,72.77538740113631,72.62406080713218,72.56191844556017,72.43746568318271,72.27467537497753,72.14522487466809,71.970863166516,71.95586430990396,71.86650432479702,71.67809810775998,71.65383848786284,71.59323355913295,71.55145982026964,71.53548335369382,71.3823033551701,71.25360373671856,71.09266536228336,70.95560771982406,70.79663013326531,70.5975500100863,70.56508772040984,70.56050216851753,70.42760034701132
TRAIN_0002,634,300.0,392.0,450.0,421.0,3.0,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.5,79.11852906601754,78.94145190543833,78.92819706481312,78.7418777953367,78.71369063150406,78.65424717677197,78.4617428467839,78.32326358041475,78.21969612176123,78.12382030221956,78.03609527939497,77.98906229728682,77.91846625821658,77.8881914718856,77.73587386549295,77.55993986910222,77.47255436693136,77.31715286579406,77.18442635129733,76.99663764498322,76.9411511060216,76.76974854542571,76.66756372485509,76.5256997796807,76.33123848224034,76.30255177720618,76.1437879312217,75.99888973143551,75.95255681789604,75.88333315108497,75.79300945529965,75.71024931009752,75.70053565681327,75.56600801882067,75.52744450187039,75.51175645801493,75.50537857242857,75.38974047535949,75.3160410151854,75.13526785989178,75.09258879934107,75.01500266621517,74.94281818087882,74.84721742307154,74.73879574283421,74.62545252575791,74.51117540422767,74.41976044620945,74.37916721038907,74.31269028058061,74.16040318359956,74.13314124635829,74.00666839961343,73.94045568104394,73.92083066610078,73.81019503799503,73.67036735611683,73.65641693407392,73.52565620266726,73.5086783625986,73.31511489824923,73.26387109322798,73.2372064523639,73.15847571897763,73.05359330391879,72.93362857749571,72.80143894009892,72.77351760254757,72.64916899411726,72.45101376367808,72.30687007189441,72.11636388170771,71.95930884571598,71.95661055183407,71.83845758289421,71.75949891534609,71.63560228006429,71.4812133095345,71.31581961632419,71.27980365572293,71.19956952444532,71.14402047511948,71.02674039768212,70.92003804319825,70.87672307246706,70.71012891680813,70.5959713018287,70.4182028471513,70.39957831192383
TRAIN_0003,639,289.0,368.0,379.0,373.5,3.1,3.0,3.0,3.0,3.0,2.9,2.9,2.9,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.7,0.7,0.7,77.93626249857157,77.83952251661088,77.81560714538644,77.64464365752475,77.54655471407273,77.48044070763511,77.38366506123924,77.28203596790904,77.12635351586668,77.12129997556656,77.04301516027746,76.90049522050725,76.77431538490853,76.62793922138171,76.51968887559056,76.496267074872,76.43442096613876,76.37245739024034,76.25492337342841,76.06371640575799,75.94959229089159,75.93560601606148,75.87939483793696,75.72001766301663,75.67350026652069,75.49167172689906,75.37993450500088,75.3313590846383,75.22554860799309,75.21143685532148,75.0621307952374,74.89739880223068,74.81957605533843,74.71631883054765,74.67550112197497,74.579931312757,74.57349077632298,74.55293926796095,74.41813636948518,74.23783033550812,74.1774895235717,74.02298906245117,73.89788243139101,73.79977494808873,73.62830991062481,73.46064809879633,73.31936872889914,73.15543809821285,72.96225557838015,72.8581286763451,72.81308684912622,72.80985262185675,72.61291643928244,72.4640635460456,72.41578702823304,72.40617064633221,72.28331502101337,72.08997819285368,72.03706372561827,71.96954724501936,71.83425232000548,71.73140185143123,71.62018597043354,71.43953838502026,71.39416538209981,71.35301961935245,71.24781216695199,71.09865088449688,71.08151025689604,70.9491298080952,70.80366524721838,70.76033027698722,70.61448454627175,70.60172699648193,70.41149013025102,70.24549834420321,70.13642184023236,70.12906931163279,70.01812034836412,69.93461453054775,69.88412355068176,69.84568297485318,69.79468205283136,69.77981278885014,69.61464367766368,69.45540409216841,69.28158985975877,69.23868894264716,69.1339699448087
TRAIN_0004,496,306.0,353.0,358.0,355.5,3.7,3.6,3.6,3.6,3.5,3.5,3.5,3.4,3.4,3.3,3.3,3.3,3.2,3.2,3.2,3.1,3.1,3.1,3.0,3.0,2.9,2.9,2.9,2.8,2.8,2.8,2.7,2.7,2.7,2.6,2.6,2.6,2.5,2.5,2.5,2.4,2.4,2.4,2.3,2.3,2.3,2.2,2.2,2.2,2.1,2.1,2.1,2.0,2.0,2.0,1.9,1.9,1.9,1.8,1.8,1.8,1.7,1.7,1.6,1.6,1.6,1.5,1.5,1.5,1.4,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.1,1.1,1.0,1.0,1.0,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.6,76.23323105801177,76.18657218542563,76.03103206355158,75.88655266086681,75.73644881137204,75.73503559484782,75.64222322052032,75.45849585542759,75.38094506075237,75.2720543545718,75.0986761648719,75.03065163438215,75.02549861496567,74.97039232859066,74.92180281282826,74.91072028996535,74.87151877347821,74.68532649638367,74.63683422172548,74.47250579340556,74.46462143601357,74.43820905465458,74.34535948085166,74.14740644667805,73.98564509301761,73.81364235435876,73.62995367234325,73.62358073628026,73.46898703850215,73.35542349561968,73.28622211727948,73.15252704509982,73.02399181125253,72.93767473224611,72.89613440976757,72.87432371312443,72.7163629403272,72.65797451601435,72.46957319785595,72.42888741184846,72.35273791525293,72.26274120557576,72.07582620673443,71.97925368067553,71.94595677018744,71.82941821760473,71.77433890232378,71.63754676810406,71.62059488172102,71.5668469520633,71.45773780259732,71.32865254510243,71.19288391137965,71.05845388378418,70.88892578256583,70.7368670228831,70.5666671219691,70.54914887727786,70.3757940952292,70.23044017237805,70.11130795895448,69.91481556223893,69.8222037068772,69.73981141549356,69.59604103386845,69.53605872125667,69.34084151993262,69.3189631431488,69.14920519246597,69.0853345345953,68.91636374057241,68.81755216461441,68.70251510764845,68.68286190734814,68.66472223174743,68.57693333910834,68.52016744195792,68.37724558260123,68.33904362376448,68.31301577650339,68.28536400176921,68.2098604651445,68.20945761671662,68.04008251840881,67.85996306963202,67.77555624079136,67.70145640219792,67.50424423066154,67.41009276375344
TRAIN_0005,350,308.0,342.0,409.0,375.5,4.1,4.1,4.0,4.0,4.0,3.9,3.9,3.8,3.8,3.8,3.7,3.7,3.7,3.6,3.6,3.5,3.5,3.4,3.4,3.3,3.3,3.3,3.2,3.2,3.1,3.1,3.1,3.0,3.0,2.9,2.9,2.8,2.8,2.7,2.7,2.7,2.6,2.6,2.5,2.5,2.5,2.4,2.4,2.3,2.3,2.2,2.2,2.2,2.1,2.1,2.0,2.0,2.0,1.9,1.9,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.5,1.5,1.4,1.4,1.4,1.3,1.3,1.2,1.2,1.2,1.1,1.1,1.0,1.0,0.9,0.9,0.9,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.5,0.0,0.0,79.74578709645,79.74342637593143,79.54475856103235,79.41055609442444,79.28417156619139,79.24241246480766,79.23324691183333,79.04498076214216,78.92198900697107,78.79911080491364,78.70165900521782,78.62291878452925,78.59089212910419,78.45306137566875,78.42096892056652,78.37281634892031,78.35644678554587,78.34769145136477,78.23924494534589,78.20239659934026,78.04361683729839,77.99148929411885,77.81196381640393,77.72391685596332,77.71486557583472,77.61814786339093,77.60375754826428,77.46587272520865,77.31500189391119,77.21364298426145,77.0579415330238,76.96529812647702,76.92953056693824,76.75124466623981,76.62086793451044,76.44796072129013,76.33450757006312,76.16607911270164,76.0860601719605,75.90394054873268,75.79285984074649,75.61908260026507,75.43117877328825,75.32857192704378,75.27746846159808,75.09089324034586,74.90511162996135,74.87386529698394,74.80908753220181,74.67732224491644,74.48008077624941,74.33881413244072,74.33582465572225,74.23203387060532,74.19002950509004,74.08520476758176,74.06022049338145,74.0156215778023,73.92426945231682,73.85080728068878,73.65534996441315,73.53507919800072,73.37517726514446,73.31613351929988,73.2459694128369,73.07891581914731,72.93042622706065,72.88536243397394,72.79983018840578,72.78642423437435,72.75133364417259,72.73016302383887,72.5589778556927,72.49154884639795,72.37923527814698,72.23732007807052,72.06060576878026,72.03218961921701,71.93213537440853,71.8276743270608,71.79853679692032,71.76124817819637,71.69505831240599,71.64748164616229,71.59084223662212,71.45154101076231,71.3275912964959,71.20566355862634,71.06406534514299
TRAIN_0006,689,212.0,320.0,344.0,332.0,2.8,2.8,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,67.25044266888915,67.1389612053843,67.11809400194103,67.06215475239772,66.97330633970982,66.84184400009873,66.71903286179489,66.6587783503198,66.5327840394176,66.41389265026027,66.3305945891174,66.2472039206884,66.16811532405504,66.05770024033869,65.97070522302334,65.80336833921703,65.70717792363894,65.70359215549716,65.62699175958178,65.53911099069357,65.52642565733787,65.49380009771892,65.45192835807194,65.37618854153807,65.20782550348143,65.16494921779788,65.11232697741626,64.97091866250963,64.96030676208193,64.82797671674791,64.78580150288263,64.74562554290944,64.69500561882161,64.60408565066967,64.47387928144896,64.29342417727376,64.20540548966329,64.1388796583834,64.0571644830585,63.96300867315668,63.81823010731816,63.772390466483145,63.7713932024998,63.71372433882528,63.63041574382042,63.51607570200339,63.50547341274103,63.30715379444534,63.16157552506103,63.05463566749261,62.9442529540214,62.88551048174949,62.78836495931104,62.726324475153895,62.69814090167537,62.65629089508255,62.48159203256384,62.45077786616797,62.28144510556238,62.148581672999136,61.98531976752604,61.91392915968844,61.77236337058789,61.64949159310826,61.46245872595416,61.27512643476104,61.13711928046408,61.046357315443146,60.99827166623002,60.955287120227176,60.81404808830913,60.67171607002746,60.482253682827306,60.367469525866696,60.33416605753546,60.22700521008856,60.12847443873628,59.97082336289564,59.92924788994248,59.73494258710161,59.70744553764996,59.58850593586566,59.46402689906069,59.41592460808785,59.39185310857447,59.37666164464484,59.22475848681824,59.12144018591554,59.10856918371534
TRAIN_0007,459,280.0,404.0,416.0,410.0,3.4,3.4,3.4,3.4,3.3,3.3,3.3,3.2,3.2,3.2,3.1,3.1,3.1,3.0,3.0,3.0,2.9,2.9,2.9,2.8,2.8,2.8,2.7,2.7,2.7,2.6,2.6,2.6,2.5,2.5,2.5,2.4,2.4,2.4,2.3,2.3,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.0,2.0,2.0,1.9,1.9,1.9,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.6,1.6,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.3,1.3,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.0,1.0,1.0,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.6,76.54532653510515,76.34593376240302,76.2683182212857,76.15510298464504,76.03626377559992,75.91051612716467,75.80981777323802,75.71770361755615,75.554425779219,75.52719967687199,75.52587491366627,75.49227992728035,75.33139766460363,75.2931907761336,75.19132942141617,75.01547722870804,74.89266408244748,74.83839974480745,74.67094114104447,74.63990594844702,74.4486492194546,74.273513877396,74.10040598059834,73.95045574623313,73.90054827828631,73.88429125210811,73.71055157326686,73.56804869072288,73.4485583133433,73.26082589052425,73.15118964880007,73.01125367414636,72.83233094567802,72.76420651702173,72.62594786141784,72.5124924220096,72.43632312205563,72.27143620011975,72.25531792729011,72.22496356627107,72.12451706563328,72.07402548861663,71.89394234800746,71.8527912497637,71.80493464871107,71.67287289000583,71.6240157124162,71.46921669883969,71.31489475678246,71.18973039282281,71.0470267352703,70.9213634892062,70.82957859008634,70.67544384286619,70.5822067359313,70.45882740168813,70.36145929515153,70.19545338253253,70.0585685998748,70.01932843591744,69.88015164165701,69.72492175746252,69.67199557557207,69.5681071969778,69.39857354925978,69.35966208752744,69.18571710650527,69.1145054294043,69.11336960593768,68.98754877856292,68.96447351917428,68.906770922701,68.87487714297629,68.70194635159531,68.68981121151403,68.54108520564971,68.38369869257077,68.22167009687989,68.0717398409433,67.98500222248201,67.89767258272352,67.8299915662275,67.71861328628559,67.61114138090137,67.48314491363368,67.31913331398475,67.16662708434592,66.98521351877356,66.79062302678102
TRAIN_0008,697,214.0,324.0,363.0,343.5,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.6,78.62004459191486,78.45032722438197,78.39467306883813,78.19988353136955,78.12364028337302,78.03360475496906,77.84112464097234,77.67578169742563,77.59238335532686,77.4279152370205,77.36991040068953,77.23982749648786,77.12353468570339,76.93989899176977,76.84844790979498,76.83696176515365,76.73996748521886,76.67546768673705,76.6275467551104,76.45769871157364,76.45449169195814,76.260494648058,76.10591512909612,76.10411781156525,75.96247293769854,75.80158583243194,75.75239846188664,75.70281380798109,75.61546102300687,75.5889901504917,75.49756434638954,75.33370883054657,75.1571968716047,75.1087554997395,75.07377555889286,74.87691003781538,74.71757223544057,74.71427284922723,74.6999596462639,74.68936878227557,74.65317898756058,74.59938469497897,74.4849750299208,74.34496996070607,74.14510621844104,73.99412778762071,73.95747266500948,73.76620661947831,73.71781558337615,73.63845357669997,73.51770257372402,73.36024353801984,73.22554371826165,73.1423261064519,72.94590152111407,72.87305184362187,72.74573098493931,72.54684731118357,72.45822297885783,72.36241098547562,72.2374252619536,72.22079136852233,72.13058072293883,72.10596658654839,71.93012034950071,71.77449517845353,71.6939493230594,71.50802678352082,71.4456892038282,71.32223934928824,71.12829437786326,71.12539968398292,70.97677170436361,70.7869104637666,70.65582185190628,70.47926986086689,70.41944548299334,70.26432850746102,70.1127972477891,70.02651103584559,69.92991346416177,69.87264398276422,69.72058775428422,69.54286087161563,69.47566608481169,69.40289441791215,69.30785868396943,69.22795131215356,69.11422129650067
TRAIN_0009,167,224.0,242.0,285.0,263.5,4.8,4.8,4.7,4.7,4.6,4.6,4.5,4.5,4.4,4.4,4.3,4.3,4.2,4.2,4.1,4.1,4.0,4.0,3.9,3.9,3.8,3.7,3.7,3.6,3.6,3.5,3.5,3.4,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3.0,3.0,2.9,2.9,2.9,2.8,2.7,2.7,2.6,2.6,2.5,2.5,2.4,2.4,2.3,2.3,2.2,2.2,2.1,2.1,2.0,2.0,1.9,1.9,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.5,1.5,1.4,1.4,1.3,1.3,1.2,1.2,1.1,1.1,1.0,1.0,0.9,0.9,0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.0,0.0,74.97096622300826,74.84812732641684,74.67748952949587,74.54908135262977,74.37603364850085,74.3090960505322,74.2843814343526,74.17860515947031,74.16065878341655,74.11215005886474,73.98931993761157,73.94911559022056,73.79687359658675,73.67915603972573,73.53203900323916,73.3591127306194,73.24601240894383,73.14770529306065,73.10970070753444,72.93972645331945,72.88961677477437,72.7585030593516,72.57069137504115,72.39751559248175,72.3588478876592,72.18574515284756,72.1306070278422,72.00295577450532,71.82583610117051,71.69686201679136,71.61902817816545,71.46475386026077,71.42987021797371,71.24479946896851,71.15057379056061,71.07052602516164,70.9258560171946,70.84525780573057,70.71457657883764,70.65942302455437,70.59586591615948,70.46627587652017,70.42284612684186,70.24632862764085,70.21445125608989,70.07790421791469,69.96566574658603,69.93356403535292,69.9330362924884,69.88590258084547,69.7945049554109,69.71589731220905,69.65226972797397,69.47056119016356,69.38917513898599,69.2178721254507,69.20772442922733,69.09555455830571,68.9023120317054,68.71005800765359,68.52617619880401,68.365769892196,68.26748267800872,68.13213242514168,67.97696502591133,67.83122674321385,67.6941686075268,67.53009466213582,67.38958869857456,67.3593872510378,67.34457559994033,67.14948772920317,67.00407579600083,66.8749709169696,66.81645004602474,66.64526122939327,66.60846259496762,66.43378160755978,66.37656864116688,66.30172447382982,66.15190000802868,66.0099617749702,65.99918019652236,65.91806570773805,65.83830933706278,65.8210862993093,65.62352143813017,65.59552166521074,65.4998543585058
